x,y,p
38.6631083,-90.5770675,47749
40.8859325,-74.0434736,44113
40.6642699,-73.7084645,37659
29.1383165,-80.9956105,57203
26.6276276,-80.1353896,38696
39.9625984,-76.727745,43935
41.8505874,-87.7936685,56758
39.7136754,-82.5993294,39325
48.74908,-122.4781473,82631
33.8536269,-118.1339563,81121
37.4323341,-121.8995741,69783
42.0333623,-87.8833991,58918
44.9238552,-92.9593797,65656
39.4667034,-87.4139092,61025
46.2395793,-119.1005657,67599
42.6389216,-83.2910468,59887
26.1947962,-98.1836216,73790
31.0982344,-97.342782,70190
40.1261743,-82.9290696,37530
39.158168,-75.5243682,37366
33.4734978,-82.0105148,197350
35.0526641,-78.8783585,204408
35.0853336,-106.6055534,556495
33.8358492,-118.3406288,147478
41.7508391,-88.1535352,144864
35.9606384,-83.9207392,183270
42.2711311,-89.0939952,150251
26.0112014,-80.1494901,146526
43.0730517,-89.4012302,243344
33.9519347,-83.357567,119980
37.3860517,-122.0838511,77846
33.954737,-118.2120161,95677
32.7947731,-116.9625269,102211
29.6516344,-82.3248262,127488
36.3302284,-119.2920585,127763
42.2917069,-85.5872286,75548
28.0344621,-80.5886646,104898
34.6035669,-98.3959291,97151
31.5785074,-84.155741,76185
33.6680772,-117.3272615,57525
39.9205411,-105.0866504,59471
47.4941836,-111.2833449,59351
44.811349,-91.4984941,67545
35.6869752,-105.937799,69976
36.3320196,-94.1185366,60112
32.5631924,-97.1416768,60872
28.8052674,-97.0035982,65098
38.5804609,-121.530234,49891
41.9445441,-71.2856082,43886
47.6162683,-122.0355736,50169
33.6803003,-116.173894,43092
35.7212689,-77.9155395,49628
40.4594021,-74.360846,44412
43.8013556,-91.2395807,51522
33.0581063,-112.0476423,45508
45.4312294,-122.7714861,50444
33.0151201,-96.5388789,44575
42.3459271,-71.5522874,39414
43.7730448,-88.4470508,42970
36.3728538,-94.2088172,40167
46.8737648,-96.7678039,39398
30.1588129,-85.6602058,36877
34.3916641,-118.542586,179590
29.9510658,-90.0715323,378715
33.1958696,-117.3794834,172794
35.9940329,-78.898619,245475
43.16103,-77.6109219,210358
27.773056,-82.64,249688
35.2219971,-101.8312969,196429
33.5778631,-101.8551665,239538
37.688889,-97.336111,386552
33.7805388,-116.4668036,52977
26.8233946,-80.1386547,50699
33.8722371,-117.8703363,52206
41.900101,-71.0897674,56069
47.1717649,-122.518458,59097
44.6496868,-93.24272,58562
41.719978,-87.7479528,57073
37.0842271,-94.513281,50789
32.5896998,-96.8570738,51483
41.3683798,-82.1076486,53956
41.7003208,-70.3002024,44641
28.6611089,-81.3656242,42150
41.8089191,-88.0111746,49670
37.5296593,-122.0402399,44096
41.8994744,-87.9403418,45556
25.9564812,-80.1392121,37199
39.7092262,-84.0632685,45712
26.1595194,-97.9908366,37093
40.6668916,-111.8879909,48612
32.6781085,-117.0991967,59834
43.5445959,-96.7311034,164676
33.6469661,-117.689218,79312
41.878711,-71.3825558,71172
37.6688205,-122.0807964,151574
37.7652065,-122.2416355,76419
29.7030024,-98.1244531,63279
33.7205771,-116.2155619,83539
29.5074538,-95.0949303,90983
32.9756415,-96.8899636,126700
34.0211224,-118.3964665,39428
34.0775104,-117.6897776,38027
41.632223,-88.2120315,41734
41.2306979,-73.064036,51644
39.2014404,-85.9213796,45775
43.6629384,-116.6873596,48957
40.8893895,-111.880771,43023
33.9533487,-117.3961564,316619
33.4941704,-111.9260519,226918
33.5206608,-86.80249,212113
35.1495343,-90.0489801,653450
41.079273,-85.1393513,256496
45.5230622,-122.6764816,609456
39.9611755,-82.9987942,822553
32.8140177,-96.9488945,228653
30.267153,-97.7430608,885400
34.4208305,-119.6981901,90412
36.0625795,-94.1574263,78960
34.5794343,-118.1164613,157161
40.7607793,-111.8910474,191180
37.9779776,-122.0310733,125880
37.7974273,-121.2160526,71948
38.8048355,-77.0469214,148892
42.1103041,-88.03424,69350
29.7355047,-94.9774274,75418
40.2338438,-111.6585337,116288
42.0629915,-88.1227199,52398
34.0286226,-117.8103367,56449
36.3134397,-82.3534727,65123
37.9735346,-122.5310874,58994
47.7556531,-122.3415178,54790
38.1074198,-122.5697032,54194
40.5621704,-111.929658,59366
26.2445263,-80.206436,55456
40.0378755,-76.3055144,59325
42.7262016,-71.1908924,48514
27.4467056,-80.3256056,43074
41.2619444,-95.8608333,61969
47.4703767,-122.3467918,49858
27.044224,-82.2359254,59212
34.6059253,-86.9833417,55816
44.6365107,-123.1059282,51583
42.48059,-83.4754913,57960
41.0602216,-111.9710529,70790
42.5250906,-71.759794,41002
26.217305,-80.2258811,42757
34.0961111,-118.1058333,40275
42.9614039,-88.0125865,37159
41.931696,-87.9889556,37385
36.0998596,-80.244216,236441
36.1988592,-115.1175013,226877
40.6916132,-112.0010501,133579
35.0456297,-85.3096801,173366
47.6062095,-122.3320708,652405
36.1699412,-115.1398296,603488
33.7489954,-84.3879824,447841
29.6910625,-95.2091006,152735
32.7766642,-96.7969879,1257676
34.7540524,-77.4302414,69079
42.6827885,-89.0187222,63820
41.7001009,-71.4161671,81971
38.7881062,-90.4974359,67569
38.0049214,-121.805789,107100
34.0753762,-84.2940899,62298
42.3636331,-87.8447938,88826
38.8106075,-90.6998477,82809
35.3732921,-119.0187125,363630
38.9822282,-94.6707917,181260
37.36883,-122.0363496,147559
32.2987573,-90.1848103,172638
33.4483771,-112.0740373,1513367
35.79154,-78.7811169,151088
34.055103,-117.7499909,151348
32.0835407,-81.0998342,142772
25.7616798,-80.1917902,417650
40.7878788,-74.0143064,52122
38.2775702,-85.7371847,45929
43.0962143,-79.0377388,49468
42.40843,-71.0536625,42935
39.0836712,-84.5085536,40956
41.9950276,-88.1856301,41679
44.5645659,-123.2620435,55298
40.6220478,-74.2445902,41301
32.5884689,-96.9561152,46663
33.952463,-117.5848025,55191
42.1487043,-72.6078672,55717
36.9741171,-122.0307963,62864
42.4184296,-71.1061639,57170
36.9685219,-86.4808043,61488
33.9319578,-117.9461734,61653
43.0116784,-88.2314813,71016
35.1982836,-111.651302,68667
39.0839973,-77.1527578,64072
29.1871986,-82.1400923,57468
42.2180724,-70.9410356,55419
35.5950581,-82.5514869,87236
35.262082,-81.1873005,73209
35.2327544,-106.6630437,91956
41.6986416,-88.0683955,73936
